feature,importance
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_De acuerdo,0.02301760206301639
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_En desacuerdo,0.02161137174743189
¿Participó activamente en redes sociales o medios digitales durantes las ultimas elecciones presidenciales de 2025?_Prefiero no responder,0.016718806533279465
¿Considera que el uso de IA en campañas digitales influyó en su decisión de voto en las elecciones presidenciales de 2025?_Poco,0.016211286689215527
¿Considera que el uso de IA en campañas digitales influyó en su decisión de voto en las elecciones presidenciales de 2025?_Nada,0.014418063345067478
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.]_Totalmente de acuerdo,0.014272027302862585
"¿Ha cambiado su confianza en el proceso electoral al saber que existen bots, deepfakes o manipulación mediante IA?_No ha cambiado",0.014051798837000038
"percibe_automatizacion_Tal vez, pero no estoy seguro/a",0.01320743892371071
¿Por quién votó en la segunda vuelta presidencial de 2025?_Daniel Noboa,0.013074887122758736
Percepción sobre el uso de IA en campañas políticas [Considero que el uso de inteligencia artificial en campañas políticas debería estar regulado por la ley.]_Totalmente de acuerdo,0.0127939398729658
Percepción sobre el uso de IA en campañas políticas [La presencia de bots o cuentas falsas en redes sociales reduce mi confianza en la información política digital.]_De acuerdo,0.012384482862169002
"¿Realiza alguna verificación (chequea fuentes, busca noticias, consulta otras personas) de la información política digital antes de compartirla?_Rara vez",0.012082990371061034
"¿Vio alguna vez un video, imagen, audio o noticia política de la campaña entre Luisa González y Daniel Noboa que le pareció “falso”, “manipulado” o generado con IA?_Sí, muchas veces",0.011917779590700558
"¿Realiza alguna verificación (chequea fuentes, busca noticias, consulta otras personas) de la información política digital antes de compartirla?_A veces",0.011720595234475262
Percepción sobre el uso de IA en campañas políticas [La existencia de deepfakes o contenido manipulado me hace desconfiar más de las campañas políticas digitales.]_De acuerdo,0.011714228552791318
Percepción sobre el uso de IA en campañas políticas [La presencia de bots o cuentas falsas en redes sociales reduce mi confianza en la información política digital.]_Ni de acuerdo ni en desacuerdo,0.011093035313028979
"¿Ha cambiado su confianza en el proceso electoral al saber que existen bots, deepfakes o manipulación mediante IA?_Sí, ahora confío menos",0.010965859344589395
Percepción sobre el uso de IA en campañas políticas [La inteligencia artificial puede mejorar la transparencia del proceso electoral.]_Ni de acuerdo ni en desacuerdo,0.01091868017435037
Percepción sobre el uso de IA en campañas políticas [Los partidos pueden manipular mi opinión mediante mensajes personalizados creados con IA.]_Ni de acuerdo ni en desacuerdo,0.010905731967863723
identifica_ia_A veces,0.010574646859865058
"¿Vio alguna vez un video, imagen, audio o noticia política de la campaña entre Luisa González y Daniel Noboa que le pareció “falso”, “manipulado” o generado con IA?_No estoy seguro/a",0.010481128127789298
Percepción sobre el uso de IA en campañas políticas [El uso de inteligencia artificial en campañas políticas digitales mejora la comunicación entre partidos y ciudadanos.]_En desacuerdo,0.010232334002270504
edad_18–24,0.010067872137724846
"percibe_automatizacion_Sí, lo he notado claramente",0.010008158173651164
conoce_ia_No,0.009965339103245015
"¿Conoce alguna medida, ley o regulación sobre el uso de IA en campañas políticas en Ecuador?_No estoy seguro/a",0.009833478228920781
genero_Masculino,0.009760864701759518
¿Participó activamente en redes sociales o medios digitales durantes las ultimas elecciones presidenciales de 2025?_No,0.009757090988387366
